Date,Discharge
3/23/2018,3540
3/24/2018,2600
3/25/2018,2380
3/26/2018,2970
3/27/2018,2950
3/28/2018,2440
3/29/2018,3380
3/30/2018,4830
3/31/2018,4220
4/1/2018,3420
4/2/2018,2410
4/3/2018,3200
4/4/2018,3170
4/5/2018,3050
4/6/2018,1600
4/7/2018,1530
4/8/2018,1840
4/9/2018,1930
4/10/2018,2100
4/11/2018,1870
4/12/2018,2440
4/13/2018,2920
4/14/2018,2610
4/15/2018,4360
4/16/2018,3510
4/17/2018,2820
4/18/2018,1550
4/19/2018,1700
4/20/2018,1720
4/21/2018,1780
4/22/2018,1010
4/23/2018,5480
4/24/2018,7330
4/25/2018,4790
4/26/2018,2910
4/27/2018,3570
4/28/2018,3430
4/29/2018,2990
4/30/2018,3780
5/1/2018,4170
5/2/2018,3370
5/3/2018,3090
5/4/2018,3390
5/5/2018,2860
5/6/2018,2280
5/7/2018,2100
5/8/2018,2670
5/9/2018,2810
5/10/2018,2790
5/11/2018,2890
5/12/2018,2640
5/13/2018,2540
5/14/2018,2970
5/15/2018,2900
5/16/2018,4470
5/17/2018,3680
5/18/2018,3050
5/19/2018,1980
5/20/2018,1670
5/21/2018,2310
5/22/2018,2880
5/23/2018,5130
5/24/2018,2420
5/25/2018,1850
5/26/2018,1140
5/27/2018,1040
5/28/2018,1140
5/29/2018,2510
5/30/2018,4120
5/31/2018,6390
6/1/2018,8670
6/2/2018,4430
6/3/2018,5640
6/4/2018,6270
6/5/2018,6680
6/6/2018,8110
6/7/2018,8460
6/8/2018,8170
6/9/2018,7380
6/10/2018,6650
6/11/2018,6600
6/12/2018,7780
6/13/2018,7820
6/14/2018,6530
6/15/2018,3440
6/16/2018,1780
6/17/2018,3230
6/18/2018,2350
6/19/2018,2710
6/20/2018,3130
6/21/2018,3570
6/22/2018,4340
6/23/2018,3830
6/24/2018,1960
6/25/2018,2590
6/26/2018,4280
6/27/2018,4240
6/28/2018,5640
6/29/2018,5480
6/30/2018,4410
7/1/2018,1520
7/2/2018,1730
7/3/2018,3330
7/4/2018,2630
7/5/2018,1660
7/6/2018,1910
7/7/2018,1500
7/8/2018,1580
7/9/2018,2060
7/10/2018,2790
7/11/2018,2300
7/12/2018,2140
7/13/2018,2030
7/14/2018,4920
7/15/2018,2400
7/16/2018,2200
7/17/2018,3930
7/18/2018,3920
7/19/2018,2300
7/20/2018,2260
7/21/2018,3340
7/22/2018,3620
7/23/2018,2710
7/24/2018,4380
7/25/2018,1870
7/26/2018,1190
7/27/2018,2490
7/28/2018,2040
7/29/2018,1410
7/30/2018,1350
7/31/2018,4070
8/1/2018,5580
8/2/2018,6760
8/3/2018,6480
8/4/2018,3870
8/5/2018,2260
8/6/2018,2960
8/7/2018,3560
8/8/2018,1350
8/9/2018,3900
8/10/2018,4920
8/11/2018,4340
8/12/2018,2070
8/13/2018,2090
8/14/2018,4150
8/15/2018,4390
8/16/2018,4260
8/17/2018,4240
8/18/2018,4330
8/19/2018,2200
8/20/2018,2080
8/21/2018,3890
8/22/2018,3050
8/23/2018,2770
8/24/2018,2400
8/25/2018,2230
8/26/2018,1320
8/27/2018,1760
8/28/2018,2350
8/29/2018,2590
8/30/2018,1810
8/31/2018,2110
9/1/2018,1490
9/2/2018,1050
9/3/2018,1050
9/4/2018,1070
9/5/2018,1750
9/6/2018,1390
9/7/2018,1070
9/8/2018,1630
9/9/2018,1170
9/10/2018,1250
9/11/2018,1350
9/12/2018,1450
9/13/2018,1140
9/14/2018,1260
9/15/2018,1570
9/16/2018,1340
9/17/2018,1060
9/18/2018,1600
9/19/2018,1380
9/20/2018,1500
9/21/2018,1760
9/22/2018,1420
9/23/2018,1130
9/24/2018,1050
9/25/2018,1710
9/26/2018,1480
9/27/2018,2020
9/28/2018,1610
9/29/2018,1100
9/30/2018,1310
10/1/2018,1510
10/2/2018,1470
10/3/2018,1820
10/4/2018,1990
10/5/2018,2230
10/6/2018,1310
10/7/2018,1030
10/8/2018,1250
10/9/2018,2080
10/10/2018,2580
10/11/2018,7980
10/12/2018,3980
10/13/2018,1790
10/14/2018,1500
10/15/2018,1530
10/16/2018,2080
10/17/2018,1710
10/18/2018,1500
10/19/2018,1430
10/20/2018,1610
10/21/2018,1150
10/22/2018,1190
10/23/2018,1670
10/24/2018,1990
10/25/2018,1660
10/26/2018,2760
10/27/2018,2500
10/28/2018,1520
10/29/2018,1270
10/30/2018,2110
10/31/2018,1690
11/1/2018,2020
11/2/2018,1990
11/3/2018,1450
11/4/2018,1400
11/5/2018,1140
11/6/2018,1670
11/7/2018,2340
11/8/2018,2510
11/9/2018,3930
11/10/2018,3580
11/11/2018,1800
11/12/2018,6650
11/13/2018,10000
11/14/2018,5570
11/15/2018,5570
11/16/2018,7080
11/17/2018,7940
11/18/2018,7450
11/19/2018,7330
11/20/2018,6430
